bike_usage,hour,region,subzone
585,2023-01-16 21:00:00,lower_west_manhattan,NW
412,2023-01-16 22:00:00,lower_west_manhattan,NW
282,2023-01-16 23:00:00,lower_west_manhattan,NW
143,2023-01-17 00:00:00,lower_west_manhattan,NW
72,2023-01-17 01:00:00,lower_west_manhattan,NW
45,2023-01-17 02:00:00,lower_west_manhattan,NW
34,2023-01-17 03:00:00,lower_west_manhattan,NW
44,2023-01-17 04:00:00,lower_west_manhattan,NW
280,2023-01-17 05:00:00,lower_west_manhattan,NW
698,2023-01-17 06:00:00,lower_west_manhattan,NW
1371,2023-01-17 07:00:00,lower_west_manhattan,NW
2123,2023-01-17 08:00:00,lower_west_manhattan,NW
1508,2023-01-17 09:00:00,lower_west_manhattan,NW
885,2023-01-17 10:00:00,lower_west_manhattan,NW
982,2023-01-17 11:00:00,lower_west_manhattan,NW
985,2023-01-17 12:00:00,lower_west_manhattan,NW
1061,2023-01-17 13:00:00,lower_west_manhattan,NW
1259,2023-01-17 14:00:00,lower_west_manhattan,NW
1366,2023-01-17 15:00:00,lower_west_manhattan,NW
1676,2023-01-17 16:00:00,lower_west_manhattan,NW
2524,2023-01-17 17:00:00,lower_west_manhattan,NW
2340,2023-01-17 18:00:00,lower_west_manhattan,NW
1656,2023-01-17 19:00:00,lower_west_manhattan,NW
1129,2023-01-17 20:00:00,lower_west_manhattan,NW
846,2023-01-17 21:00:00,lower_west_manhattan,NW
584,2023-01-17 22:00:00,lower_west_manhattan,NW
352,2023-01-17 23:00:00,lower_west_manhattan,NW
199,2023-01-18 00:00:00,lower_west_manhattan,NW
98,2023-01-18 01:00:00,lower_west_manhattan,NW
36,2023-01-18 02:00:00,lower_west_manhattan,NW
27,2023-01-18 03:00:00,lower_west_manhattan,NW
48,2023-01-18 04:00:00,lower_west_manhattan,NW
274,2023-01-18 05:00:00,lower_west_manhattan,NW
765,2023-01-18 06:00:00,lower_west_manhattan,NW
1480,2023-01-18 07:00:00,lower_west_manhattan,NW
2458,2023-01-18 08:00:00,lower_west_manhattan,NW
1913,2023-01-18 09:00:00,lower_west_manhattan,NW
1205,2023-01-18 10:00:00,lower_west_manhattan,NW
1166,2023-01-18 11:00:00,lower_west_manhattan,NW
1258,2023-01-18 12:00:00,lower_west_manhattan,NW
1311,2023-01-18 13:00:00,lower_west_manhattan,NW
1507,2023-01-18 14:00:00,lower_west_manhattan,NW
1721,2023-01-18 15:00:00,lower_west_manhattan,NW
1977,2023-01-18 16:00:00,lower_west_manhattan,NW
2863,2023-01-18 17:00:00,lower_west_manhattan,NW
2593,2023-01-18 18:00:00,lower_west_manhattan,NW
1953,2023-01-18 19:00:00,lower_west_manhattan,NW
1230,2023-01-18 20:00:00,lower_west_manhattan,NW
899,2023-01-18 21:00:00,lower_west_manhattan,NW
719,2023-01-18 22:00:00,lower_west_manhattan,NW
416,2023-01-18 23:00:00,lower_west_manhattan,NW
216,2023-01-19 00:00:00,lower_west_manhattan,NW
128,2023-01-19 01:00:00,lower_west_manhattan,NW
63,2023-01-19 02:00:00,lower_west_manhattan,NW
38,2023-01-19 03:00:00,lower_west_manhattan,NW
61,2023-01-19 04:00:00,lower_west_manhattan,NW
269,2023-01-19 05:00:00,lower_west_manhattan,NW
742,2023-01-19 06:00:00,lower_west_manhattan,NW
1333,2023-01-19 07:00:00,lower_west_manhattan,NW
1478,2023-01-19 08:00:00,lower_west_manhattan,NW
692,2023-01-19 09:00:00,lower_west_manhattan,NW
322,2023-01-19 10:00:00,lower_west_manhattan,NW
356,2023-01-19 11:00:00,lower_west_manhattan,NW
362,2023-01-19 12:00:00,lower_west_manhattan,NW
395,2023-01-19 13:00:00,lower_west_manhattan,NW
564,2023-01-19 14:00:00,lower_west_manhattan,NW
315,2023-01-19 15:00:00,lower_west_manhattan,NW
518,2023-01-19 16:00:00,lower_west_manhattan,NW
778,2023-01-19 17:00:00,lower_west_manhattan,NW
854,2023-01-19 18:00:00,lower_west_manhattan,NW
575,2023-01-19 19:00:00,lower_west_manhattan,NW
373,2023-01-19 20:00:00,lower_west_manhattan,NW
204,2023-01-19 21:00:00,lower_west_manhattan,NW
267,2023-01-19 22:00:00,lower_west_manhattan,NW
310,2023-01-19 23:00:00,lower_west_manhattan,NW
196,2023-01-20 00:00:00,lower_west_manhattan,NW
131,2023-01-20 01:00:00,lower_west_manhattan,NW
86,2023-01-20 02:00:00,lower_west_manhattan,NW
45,2023-01-20 03:00:00,lower_west_manhattan,NW
57,2023-01-20 04:00:00,lower_west_manhattan,NW
250,2023-01-20 05:00:00,lower_west_manhattan,NW
575,2023-01-20 06:00:00,lower_west_manhattan,NW
1176,2023-01-20 07:00:00,lower_west_manhattan,NW
